Sensor Model:   DT-670-SD-1.4L
Serial Number:  D6079484
Data Format:    2      (Volts/Kelvin)
SetPoint Limit: 325.0      (Kelvin)
Temperature coefficient:  1 (Negative)
Number of Breakpoints:   107

No.   Units      Temperature (K)

  1  9.06000e-02   500.000
  2  .110239       491.000
  3  .136555       479.500
  4  .179181       461.500
  5  .265393       425.500
  6  .349522       390.000
  7  .452797       346.000
  8  .499446       325.000
  9  .543626       306.000
 10  .582901       289.000
 11  .618437       273.500
 12  .651415       259.000
 13  .682979       245.000
 14  .713153       231.500
 15  .740834       219.000
 16  .767158       207.000
 17  .792138       195.500
 18  .815790       184.500
 19  .838125       174.000
 20  .859161       164.000
 21  .878912       154.500
 22  .897391       145.500
 23  .914617       137.000
 24  .930611       129.000
 25  .945392       121.500
 26  .959951       114.000
 27  .973316       107.000
 28  .985524       100.500
 29  .990146        98.000
 30  .997519        94.000
 31  1.00570        89.500
 32  1.01378        85.000
 33  1.02175        80.500
 34  1.02960        76.000
 35  1.03734        71.500
 36  1.04497        67.000
 37  1.05249        62.500
 38  1.06025        57.800
 39  1.06872        52.600
 40  1.07775        47.000
 41  1.08941        39.700
 42  1.09331        37.300
 43  1.09665        35.300
 44  1.09958        33.600
 45  1.10227        32.100
 46  1.10470        30.800
 47  1.10684        29.700
 48  1.10870        28.800
 49  1.11046        28.000
 50  1.11213        27.300
 51  1.11370        26.700
 52  1.11516        26.200
 53  1.11646        25.800
 54  1.11793        25.400
 55  1.11966        25.000
 56  1.12122        24.700
 57  1.12308        24.400
 58  1.12540        24.100
 59  1.12735        23.900
 60  1.12964        23.700
 61  1.13239        23.500
 62  1.13563        23.300
 63  1.14139        23.000
 64  1.16393        22.000
 65  1.17200        21.600
 66  1.18107        21.100
 67  1.19432        20.300
 68  1.20915        19.350
 69  1.23060        17.950
 70  1.24548        17.000
 71  1.25755        16.250
 72  1.26836        15.600
 73  1.27954        14.950
 74  1.29027        14.350
 75  1.30051        13.800
 76  1.31115        13.250
 77  1.32224        12.700
 78  1.33381        12.150
 79  1.34590        11.600
 80  1.35855        11.050
 81  1.37057        10.550
 82  1.38315        10.050
 83  1.39635         9.550
 84  1.41024         9.050
 85  1.42487         8.550
 86  1.44025         8.050
 87  1.45801         7.500
 88  1.48152         6.800
 89  1.51922         5.700
 90  1.54050         5.060
 91  1.55516         4.600
 92  1.56599         4.240
 93  1.57384         3.960
 94  1.57995         3.730
 95  1.58601         3.490
 96  1.59299         3.200
 97  1.60089         2.860
 98  1.60762         2.560
 99  1.61234         2.340
100  1.61620         2.150
101  1.61924         1.990
102  1.62189         1.840
103  1.62416         1.700
104  1.62594         1.580
105  1.62743         1.470
106  1.62829         1.400
107  1.63037         1.207
